,keywords,relevance,paper
727,kähler potential,0.3131,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
1223,shanghai network financial security collaborative innovation center,0.3121,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
1086,decision space,0.3113,Goal-oriented adaptive sampling under random field modelling of response probability distributions
323,reliable paths,0.3109,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
1405,cae tools,0.3104,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
883,manufacturing processes,0.3103,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
604,target voltage,0.3103,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
84,smart sports training,0.3101, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
505,communication networks,0.3085,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
124,heuristics,0.3081," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
624,seizure onsets,0.3064,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
1064,clusters,0.3062,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
1525,optical zeitgeist laboratory,0.3058,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
1463,resource allocation,0.3057,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
525,noisy signal,0.3053,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
1605,wavelength,0.3048,Massively scalable wavelength diverse integrated photonic linear neuron
884,pla wood flour,0.3042,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
885,surface quality,0.3035,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
64,ip translations,0.3034,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
1187,national digital switching system engineering,0.3033,Problems and solutions regarding generalized functional safety in cyberspace
125,memetic algorithm,0.3031," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
1363,high hardness,0.3031,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
1224,poisoning method,0.3027,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
285,depressed patients,0.3022,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
43,noise,0.3013,Audiogram Digitization Tool for Audiological Reports
1188,coding channel theory,0.3009,Problems and solutions regarding generalized functional safety in cyberspace
1065,rachford splitting algorithm,0.3008,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
1364,metal removal,0.2993,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
1365,chip thickness correlation,0.2988,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
1244,dynamic observer,0.2983,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
1284,explainable applications,0.2981,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
1406,spatial access methods,0.2977,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
1482,dynamic movements,0.2975,Neuromorphic computing for attitude estimation onboard quadrotors
506,noma,0.2974,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
1146,industrial control systems constraints,0.2971,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
507,constellations,0.2971,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
44,digitization algorithm,0.297,Audiogram Digitization Tool for Audiological Reports
685,new viable computational paradigms,0.2963,Quantum neural networks force fields generation
426,sparse laplacian distribution,0.296,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
1407,surface extraction,0.296,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
1586,transverse momentum,0.2958,Particle-based fast jet simulation at the LHC with variational autoencoders
1106,gradient projeté pour calculer la distribution,0.2956,Box-constrained optimization for minimax supervised learning
728,complete intersection,0.2956,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
104,preference information,0.2952," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
905,numerical analysis,0.2952,Digital Twins for Micro Machining
1107,qui maximise,0.2951,Box-constrained optimization for minimax supervised learning
1387,cad cam cae,0.2949,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
344,statistical aggregation,0.2945,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
1565,physical understanding,0.2937,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
823,sgd heuristics,0.2926,Deep learning via message passing algorithms based on belief propagation
625,latent space trajectories,0.2926,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
404,neuromorph,0.2914,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
366,popular security applications,0.2899,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
1066,sparsity,0.2898,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
1325,contrast imbalance,0.2897,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
626,personalized medicine,0.2896,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
1225,malicious participants,0.2894,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
1265,correct plaintext data,0.2894,Secure transmission technology based on direct modulation with random channel characteristics
1266,constellation ambiguity,0.2893,Secure transmission technology based on direct modulation with random channel characteristics
967,applications,0.289,Method for Profile-Guided Optimization of Android Applications Using Random Forest
442,datascape project,0.2887,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
443,big data,0.2873,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
1226,free defense strategy,0.2873,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
968,code analysis,0.2871,Method for Profile-Guided Optimization of Android Applications Using Random Forest
1205,eavesdropper,0.2867,Physical layer security techniques for data transmission for future wireless networks
205,neurobiology,0.2856,Neural network training with highly incomplete medical datasets
85,planning,0.2854, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
1285,time monitoring,0.2853,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
1227,anomaly aggregation,0.2847,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
444,associated energy expenditures,0.2843,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
303,multidimensional scaling,0.2842,Metric learning for kernel ridge regression: assessment of molecular similarity
1566,largest hydrodynamical simulations,0.2836,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
764,ﬁrst snn,0.2834,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
1245,system states,0.2831,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
427,explainability,0.2829,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
787,space propagation,0.2826,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
345,digital object identifier,0.2818,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
1246,cyber,0.2813,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
526,timbre,0.2811,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
705,gradient descent methods,0.281,A duality connecting neural network and cosmological dynamics
643,lowest common ancestor,0.2808,Learning tree structures from leaves for particle decay reconstruction
926,company metalac,0.2804,Management of tools in digital manufacturing - A case study
1483,battery autonomy,0.2802,Neuromorphic computing for attitude estimation onboard quadrotors
86,property graph domain,0.2793, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
765,trajectory estimation,0.2789,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
1026,tunable delay,0.2787,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
487,nearest neighbor,0.2781,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
766,attention mechanism,0.2774,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
1543,actual rewards,0.277,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
824,variables nodes,0.2751,Deep learning via message passing algorithms based on belief propagation
1484,standard von neumann architectures,0.2749,Neuromorphic computing for attitude estimation onboard quadrotors
1124,network depth,0.2746,Multilevel minimization for deep residual networks
745,mnist,0.2743,Convolutional neural networks with radio-frequency spintronic nano-devices
1027,complex weights,0.2742,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
463,semantic clustering,0.2732,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
184,lora,0.2728,Carbon Footprint vs Energy Optimization in IoT Network Deployments
1028,von neumann,0.2719,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
1067,principal component,0.2706,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
324,original data packet,0.2706,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
265,substrate networks,0.2702,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
844,early skip decision,0.2702,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
1305,imperceptible class,0.27,Implicit privacy preservation: a framework based on data generation
24,specific decay,0.2695,Improving parametric neural networks for highenergy physics (and beyond)
1228,unlabeled data,0.2688,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
1087,random field,0.2673,Goal-oriented adaptive sampling under random field modelling of response probability distributions
243,intrinsic long range dependence,0.2652,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
105,attribute group,0.2651," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
1267,channel coeﬃcients,0.2648,Secure transmission technology based on direct modulation with random channel characteristics
1366,parametric optimization,0.2644,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
927,crm,0.2634,Management of tools in digital manufacturing - A case study
1029,speed computing,0.2632,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
146,binary vector,0.262, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
746,artiﬁcial intelligence applications,0.2618,Convolutional neural networks with radio-frequency spintronic nano-devices
1567,canonical forward model,0.2617,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
1544,new drugs,0.2609,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
25,classification performance,0.2609,Improving parametric neural networks for highenergy physics (and beyond)
1628,behavioral control,0.2601,Learning torsional eye movements through active efficient coding
1442,allocation,0.2598,Ant colony optimization with semi random initialization for nurse rostering problem
1443,soft constraint,0.2592,Ant colony optimization with semi random initialization for nurse rostering problem
244,high prediction error,0.2584,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
65,response pairs,0.258,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
1485,deep neural networks,0.2578,Neuromorphic computing for attitude estimation onboard quadrotors
627,diffusion tractography,0.2573,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
706,small perturbations,0.2569,A duality connecting neural network and cosmological dynamics
147,reliability aspects,0.2566, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
628,state networks dynamics,0.2565,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
1344,semiconductor,0.2561,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
163,multiscale manner,0.2561,A biology-informed similarity metric for simulated patches of human cell membrane
1423,interoperability,0.2555,Development of an advanced MES for the simulation and optimization of industry 4.0 process
1464,stable matching,0.2554,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
982,resilient control algorithm,0.2549,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
66,many internet applications,0.2547,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
45,safety insurance board,0.2539,Audiogram Digitization Tool for Audiological Reports
605,transformer,0.2535,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
1268,random hopping,0.2521,Secure transmission technology based on direct modulation with random channel characteristics
729,neural networks,0.252,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
686,atom,0.252,Quantum neural networks force fields generation
1444,shift,0.252,Ant colony optimization with semi random initialization for nurse rostering problem
405,computational complexity,0.2519,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
946,physical systems,0.2518,How to apply the ERP model for Smart Mining?
406,fpga,0.2516,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
464,deep learning,0.2515,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
46,right ear,0.2514,Audiogram Digitization Tool for Audiological Reports
465,review data,0.2512,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
1125,resnets originates,0.2511,Multilevel minimization for deep residual networks
1229,markov model,0.251,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
1088,calibration,0.2509,Goal-oriented adaptive sampling under random field modelling of response probability distributions
1568,cluster triaxiality,0.2507,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
87,automatic generation,0.2507, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
546,domestic ﬂight data,0.2507,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
1388,shop ﬂoor,0.2503,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
1629,deeper understanding,0.2498,Learning torsional eye movements through active efficient coding
1345,single layer implementation,0.2495,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
126,homogeneous vehicles,0.2495," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
1286,functional safety,0.2494,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
26,astronomy,0.2491,Improving parametric neural networks for highenergy physics (and beyond)
1287,performance degradation,0.2488,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
1089,global optimisation,0.2487,Goal-oriented adaptive sampling under random field modelling of response probability distributions
206,incomplete datapoints,0.2482,Neural network training with highly incomplete medical datasets
928,home cookware,0.2481,Management of tools in digital manufacturing - A case study
1389,value chain,0.2479,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
1189,robust control,0.2478,Problems and solutions regarding generalized functional safety in cyberspace
1108,class proportion,0.2474,Box-constrained optimization for minimax supervised learning
1068,biological datasets,0.247,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
1505,neuromorph,0.2468,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
687,different molecules,0.2464,Quantum neural networks force fields generation
1346,monochromatic output conversion,0.2457,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
164,cancer biology,0.2456,A biology-informed similarity metric for simulated patches of human cell membrane
286,sleep stage,0.2453,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
407,future ai models,0.2453,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
1269,bit error rate,0.245,Secure transmission technology based on direct modulation with random channel characteristics
969,power consumption,0.245,Method for Profile-Guided Optimization of Android Applications Using Random Forest
1147,sophisticated deep learning,0.2447,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
1109,discret sur un domaine polyhédral,0.2445,Box-constrained optimization for minimax supervised learning
385,learn,0.2444,Subaging in underparametrized deep neural networks 
88,ascent,0.2443, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
127,local search,0.2438," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
629,mathematical modelling,0.2435,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
266,data rates,0.2434,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
1206,safety,0.243,Physical layer security techniques for data transmission for future wireless networks
586,military operations,0.2429,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
983,cybersecurity analysis,0.2429,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
1465,task deadline,0.2424,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
185,unfeasible smart applications,0.2424,Carbon Footprint vs Energy Optimization in IoT Network Deployments
970,index terms android,0.2422,Method for Profile-Guided Optimization of Android Applications Using Random Forest
325,mobility characteristic,0.2419,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
606,load tap changer,0.2415,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
865,big data analysis,0.2411,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
825,natural datasets,0.2409,Deep learning via message passing algorithms based on belief propagation
707,ubiquitous deep learning,0.2408,A duality connecting neural network and cosmological dynamics
1326,sparse mask module,0.2401,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
788,oam basis,0.2391,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
267,deployment ﬂexibility,0.2391,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
367,aes reveals,0.2384,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
1545,functional materials,0.2375,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
866,nn modeling,0.2372,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
1230,validation dataset,0.2371,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
1190,information network,0.237,Problems and solutions regarding generalized functional safety in cyberspace
1069,classiﬁcation,0.2369,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
1045,qos constraint,0.2367,Predictive Hybrid Autoscaling for Containerized Applications
1006,huge computing costs,0.2366,Multi-Dimensional Data Compression and Query Processing in Array Databases
730,picard number,0.2365,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
1070,medoid modeling,0.2362,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
148,digital converters,0.2361, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
128,travel cost,0.2355," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
789,light,0.2354,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
1327,deep semantic features,0.235,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
1164,mpc applications,0.2347,Concretely efficient secure multi-party computation protocols: survey and more
708,revolutionary phase,0.2343,A duality connecting neural network and cosmological dynamics
428,style mixing,0.2342,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
488,internet,0.2342,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
245,overﬁtting,0.2336,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
106,fuzziness,0.2328," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
429,computational quantum science laboratory,0.2322,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
445,carbon value chains,0.2321,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
1231,privacy preserving,0.2318,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
1526,cloud,0.2317,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
304,atomisation energies,0.2311,Metric learning for kernel ridge regression: assessment of molecular similarity
1071,high dimension suﬀers,0.231,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
1247,faults problem,0.2306,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
906,higher buckling modes,0.2305,Digital Twins for Micro Machining
947,energy crisis,0.2305,How to apply the ERP model for Smart Mining?
1347,tensor processing units,0.2299,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
1232,computer science,0.2299,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
1165,party pi,0.2295,Concretely efficient secure multi-party computation protocols: survey and more
1248,inaccessible information,0.2294,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
587,cuda,0.2294,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
386,aging,0.2293,Subaging in underparametrized deep neural networks 
287,explainable computer,0.2293,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
984,electrical,0.2292,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
588,2d terrains,0.2287,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
1424,physical systems,0.2286,Development of an advanced MES for the simulation and optimization of industry 4.0 process
408,dnns,0.2286,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
1630,rotational degrees,0.2279,Learning torsional eye movements through active efficient coding
1288,control,0.2279,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
1348,neuromorph,0.2277,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
1166,arithmetic generalization,0.227,Concretely efficient secure multi-party computation protocols: survey and more
387,whole phase,0.2264,Subaging in underparametrized deep neural networks 
1445,computer science department,0.2263,Ant colony optimization with semi random initialization for nurse rostering problem
1349,noise model,0.2257,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
886,neural networks,0.2256,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
1446,experienced staff,0.2256,Ant colony optimization with semi random initialization for nurse rostering problem
466,blog text,0.2254,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
1587,full collision process,0.2252,Particle-based fast jet simulation at the LHC with variational autoencoders
826,approximations,0.225,Deep learning via message passing algorithms based on belief propagation
887,beam parameters,0.2244,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
67,computer science,0.2241,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
1289,complex systems,0.2237,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
929,mes model,0.2236,Management of tools in digital manufacturing - A case study
1606,coherent designs,0.223,Massively scalable wavelength diverse integrated photonic linear neuron
1527,zoom,0.2228,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
767,model robustness,0.2225,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
644,sci,0.2222,Learning tree structures from leaves for particle decay reconstruction
907,digital twins,0.2219,Digital Twins for Micro Machining
1506,sufﬁcient weight bit depth,0.2212,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
326,node speed,0.2207,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
527,fourier,0.2198,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
1030,phases,0.2195,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
467,famous restaurant,0.2193,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
688,machine learning,0.2192,Quantum neural networks force fields generation
1588,hyperparameter tuning,0.2191,Particle-based fast jet simulation at the LHC with variational autoencoders
409,resnet,0.2181,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
1328,digital object identifier,0.2178,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
107,novel similarity,0.2178," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
149,valence change mechanism,0.2172, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
388,dnns,0.2171,Subaging in underparametrized deep neural networks 
731,specific line bundle,0.2171,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
410,weights,0.217,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
547,capacity imbalance,0.2165,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
1270,corresponding demodulation,0.2164,Secure transmission technology based on direct modulation with random channel characteristics
645,citation relevance hierarchies,0.2155,Learning tree structures from leaves for particle decay reconstruction
567,nmf,0.2154,Non-negative Matrix Factorization for Dimensionality Reduction
246,energy engineering,0.2152,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
165,significant distributional shifts,0.2151,A biology-informed similarity metric for simulated patches of human cell membrane
1191,universal problem,0.215,Problems and solutions regarding generalized functional safety in cyberspace
1390,sheet metal cutting,0.2149,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
1647,argonne national laboratory,0.2141,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
1306,mutual information,0.2136,Implicit privacy preservation: a framework based on data generation
1072,ℓ1 criterion,0.2136,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
1425,development stages,0.2133,Development of an advanced MES for the simulation and optimization of industry 4.0 process
1031,encode information,0.213,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
1367,computation challenges,0.2129,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
845,smaller blocks,0.2123,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
468,rating,0.2117,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
1350,division multiplexing,0.2117,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
1486,inertial measurement unit data,0.2114,Neuromorphic computing for attitude estimation onboard quadrotors
1528,ofﬂine selves,0.2113,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
247,mechanical behavior,0.2111,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
368,digital object identifier,0.211,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
346,attributes,0.2107,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
1148,hardware complexity,0.2106,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
1589,quantum chromo dynamics,0.2105,Particle-based fast jet simulation at the LHC with variational autoencoders
1249,key technical lemma,0.2097,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
68,users,0.2094,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
389,mean field limit,0.2093,Subaging in underparametrized deep neural networks 
89,intersections,0.2093, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
27,fisica nucleare,0.2092,Improving parametric neural networks for highenergy physics (and beyond)
709,background,0.209,A duality connecting neural network and cosmological dynamics
1149,sequential implementation,0.2089,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
1290,whole operation life cycle,0.2089,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
28,pnns,0.2088,Improving parametric neural networks for highenergy physics (and beyond)
790,artificial neural networks,0.2086,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
1329,xuzhou science,0.2082,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
1368,turning process stand,0.208,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
129,mile,0.2079," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
166,simulated patches,0.2073,A biology-informed similarity metric for simulated patches of human cell membrane
1529,everything transformation,0.2072,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
225,application logic,0.2069,Detection of Cluster Anomalies With ML Techniques
1126,dynamical system,0.2068,Multilevel minimization for deep residual networks
